Vocabulary,Монгол орчуулга,Meaning & Example,Монгол орчуулга,жишээ орчуулга
～えき,өртөө,,... station
めぐろ駅から あるいて ３ぷんぐらいです。It's about 3 minutes walk from Meguro station.,,өртөө,Мэгуро өртөөнөөс алхаад ойролцоогоор 3 минут болно.
～えん,иен,,... yen
これは 10,000円です。This is 10,000 yen.,,иен,Энэ бол 10000 иен.
～かい,давхар,,... floor
わたしの へやは 2かいです。My room is on the second floor.,,давхар,Миний өрөө 2 давхарт.
～かい,удаа,,... times
このえいがを 2かい みました。I watched this movie twice.,,удаа,Би энэ киног 2 удаа үзсэн.
～かかん,... өдрийн турш (хугацаа),,for ... day(s)
いちに、ふつか(かん)、みっかかん・・・ One, two, three days,,... өдрийн турш (хугацаа),
～かげつ,... сарын турш (хугацаа),,(for) ... month(s)
いっか月、にか月、さんか月・・・ One month, two months, three months ...,,... сарын турш (хугацаа),,1 сарын турш, 2 сарын турш , 3 сарын турш.,
～かた,арга,,how to ...
つかいかたを おしえてください。Please teach me how to use it.,,арга,Хийх аргыг нь заагаад өгөөч
～がつ,сар,,... month
1月、2月、3月・・・ January, February, March ...,,сар,,1-дүгээр сар, 2-дугаар сар, 3-дугаар сар,
～がります,,,(third person) wants to ... [「〜たい」のstem]＋[てform of がります]＋ います
こどもたちは ディズニーランドにいきたがっています。Children want to go to Disneyland.,,,Хүүхдүүд диснейлэнд явахыг хүсдэг
～がわ,тал,,... side
ひだりがわを あるきます。Walk on the left side.,,тал,Зүүн талд алхана.
～キロ,кг,,... kg =
1キロ、2キロ、3キロ・・・ 1 kg, 2 kg, 3 kg ...,,кг,
～キロ,км,,... km = キロメートル
10キロぐらい はしりました。I ran about 10 km.,,км,10 гаруй километр гүйсэн
～くらい/ぐらい,,ойролцоогоор, гаруй,,,about ...
2じかんぐらい べんきょうしました。I studied for about 2 hours.,,,ойролцоогоор, гаруй,,2 цаг орчим хичээлээ хийсэн
～グラム,грам,,... gram
1グラム、2グラム、3グラム・・・ 1 gram, 2 gram, 3 gram ...,,грам,,1 грамм, 2 грамм, 3 грамм,
～こ,* жижиг зүйл тоолох нөхцөл,,counter for small object
いっこ、にこ、さんこ・・・ 1, 2, 3 (small objects) ...,,* жижиг зүйл тоолох нөхцөл,
～ご,хэл,,... language
にほん語、えい語、ちゅうごく語・・・ Japanese, English, Chinese ...,,хэл,,Япон хэл, англи хэл, хятад хэл,
～ごろ,үед,,around ... (for time)
2じごろに そちらに いきます。I will go there around 2 o'clock.,,үед,2 цагийн үед тэнд очно.
～さい,нас,,... year(s) old
いっさい、にさい、さんさい・・・ 1 year old, 2 years old, 3 years old ...,,нас,,1 настай, 2 настай, 3 настай,
～さつ,* ном тоолох нөхцөл,,counter for book
いっさつ、にさつ、さんさつ・・・ 1 book, 2 books, 3 books ...,,* ном тоолох нөхцөл,,1 ном, 2 ном, 3 Ном,
～さん,,(хүн) гуай , хүндэтгэх, авгайлах,,,Mr., Mrs., Miss
すずきさん、さとうさん・・・ Mr. Suzuki, Ms. Sato,,,(хүн) гуай , хүндэтгэх, авгайлах,,,Ноён Сузуки, хатагтай Сато.,
～じ,цаг,,... o'clock
いま 3時です。It's 3 o'clock now.,,цаг,Яг одоо 3 цаг болж байна
～じかん,хугацаа,,... hour(s)
1時間、2時間、3時間・・・1 hour, 2 hours, 3 hours ...,,хугацаа,
～しゅうかん,... долоо хоногийн турш (хугацаа),,(for) ... week(s)
1週間、2週間、3週間・・・ 1 week, 2 weeks, 3 weeks ...,,... долоо хоногийн турш (хугацаа),
～じん,хүн,,...an, ...ese
にほん人、アメリカ人、ドイツ人・・・ Japanese, American, German ...,,хүн,,Япон хүн, америк хүн, герман хүн,
～すぎ,,өнгөрөх , хэтрэх, Дараа,,,past, over
