ちょっと,Бага зэрэг,
丁度,яг,ちょうど
大丈夫,зүгээрдээ,だいじょうぶ
だんだん,аажмаар,
どうも,Баярлалаа,
どうして,яагаад,
どうぞ,болгооно уу,
初めて,анх удаа,はじめて
一人,нэг хүн,ひとり
一番,Ичибан ,いちばん
いかが,яаж байна,
いくら,икура,
いくつ,Хэдэн ширхэг вэ,
色々 ,янз бүрийн [янз бүрийн],いろいろ
一緒に,хамтдаа [хамтдаа],いっしょに
いつも,болгонд,
結構,дажгүй [kekkou],けっこう
まだ,хараахан,
まだ～ていません,Хараахан болоогүй,
前に,өмнө [өмнө],まえに
真っ直ぐ,шулуун [шулуун],まっすぐ
みんな,Бүгд,
もっと,илүү,
もう,Аль хэдийн,
何故,яагаад,なぜ
同じ,ижил,おなじ
直ぐに,тэр даруй [нэн даруй],すぐに 
少し,бага зэрэг,すこし
多分,магадгүй ,たぶん
大変 ,маш [их],たいへん
時々,заримдаа,ときどき
とても,маш,
よく,Ихэнхдээ,
ゆっくり,аажмаар,
