日,өдөр,"nichi, jitsu","hi, ka",明日,маргааш,あす
週,долоо хоног,shuu,—,毎週,долоо хоног бүр,まいしゅう
月,сар,"getsu, gatsu",tsuki,月曜日,даваа гараг,げつよう び
年,жил,nen,toshi,今年,энэ жил,ことし
時,цаг,ji,toki,時計,цаг,とけい
間,хугацаа,"kan, ken",aida,時間,хугацаа,じかん
分,минут,"bun, bu, fun",wa(karu,三十分,30 минут,さんじゅう ふん
午,үд,go,—,午前,үдээс өмнө,ごぜん
前,өмнө,zen,mae,名前,нэр,なまえ
後,дараа,"go, kou",ato,午後,үдээс хойш,ごご
今,одоо,"kon, kin",ima,今晩,энэ орой,こんばん
先,"өмнө, урд",sen,saki,先週,өнгөрсөн 7 хоног,せんしゅう
来,ирэх,rai,ku(ru,来月,ирэх сар,らいげつ
半,"хагас, тал",han,naka(ba,半分,хагас минут,はんぶん
毎,"бүр, тутам",mai,—,毎日,өдөр бүр,まいにち
何,юу,ka,"nan, nani",何曜日,хэд дэх өдөр,なんよう にち
人,хүн,"jin, nin",hito,人々,хүн бүр,ひとびと
男,эрэтгэй,"dan, nan",otoko,男の子,эрэгтэй хүүхэд,おとこのこ
女,эмэгтэй,"jo, nyo","onna, me",女の子,эмэгтэй хүүхэд,おんなのこ
子,хүүхэд,"shi, su",ko,子供,хүүхэд,こども
母,ээж,bo,haha,母,ээж,はは
父,аав,fu,chichi,父,аав,ちち
友,найз,yuu,tomo,友達,найз,ともだち
火,гал,ka,hi,火曜日,мягмар гараг,かよう び
水,ус,sui,mizu,水曜日,лхагва гараг,すいよう び
木,мод,"moku, boku","ki, ko",木曜日,пүрэв гараг,もくよう び
土,газар,"do, to",tsuchi,土曜日,бямба гараг,どよう び
金,"алт, мөнгө","kin, kon",kane,金曜日,баасан гараг,きんよう び
本,ном,hon,moto,日本語,япон хэл,にほん ご
川,гол,sen,kawa,川,гол,かわ
花,цэцэг,ka,hana,花火,салют,はなび
気,сэтгэл,"ki, ke",—,元気,"эрүүл, сайн",げんき
生,амьдрах,"sei, shou","i(kiru, u(mareru, ha(yasu",生徒,сурагч,せいと
魚,загас,gyo,sakana,魚,загас,さかな
天,тэнгэр,ten,"ame, ama",天気,цаг агаар,てんき
